Operator,Generated mutants,Killed mutants
tadNoRedundant,0,0
broadChan,0,0
delSync,33,33
parSeq,33,33
maskVarClocks,2,0
maskVarChannels,18,0
urgChan,11,0
delOutput,13,0
commLoc,12,0
urgLoc,12,0
ReplaceMsg,0,0
