Operator,Generated mutants,Killed mutants
tadNoRedundant,0,0
broadChan,16,0
delSync,60,60
parSeq,60,60
maskVarClocks,0,0
maskVarChannels,30,1
urgChan,16,0
delOutput,33,0
commLoc,65,1
urgLoc,65,1
ReplaceMsg,0,1
