Operator,Generated mutants,Killed mutants
tadNoRedundant,0,0
broadChan,9,9
delSync,20,20
parSeq,20,20
maskVarClocks,0,0
maskVarChannels,20,20
urgChan,9,9
delOutput,15,15
commLoc,20,20
urgLoc,20,20
ReplaceMsg,0,20
