Operator,Generated mutants,Killed mutants
tadNoRedundant,0,0
broadChan,0,0
delSync,0,0
parSeq,0,0
maskVarClocks,5,1
maskVarChannels,0,0
urgChan,0,0
delOutput,0,0
commLoc,17,1
urgLoc,17,1
ReplaceMsg,0,1
